Trace Length,Noise Percentage,Alphabet,Constraints,Grounding Time,Fast-Downward Costs,Fast-Downward Preprocessing,Fast-Downward Searching,Fast-Downward Steps,Symba Costs,Symba Preprocessing,Symba Searching,Symba Steps
10,0%,8,1,12933,5.0,0.13156545,0.0100064,15.0,0.0,0.0,0.0,0.0
10,0%,8,1,8078,0.0,0.0,0.0,0.0,5.0,0.13349999999999995,0.04750000000000002,15.0
10,0%,8,3,19632,0.0,0.0,0.0,0.0,5.0,0.15749999999999997,0.06700000000000003,16.0
10,0%,8,3,32414,5.0,0.13927599999999996,0.011512450000000002,16.0,0.0,0.0,0.0,0.0
10,0%,8,5,19530,0.0,0.0,0.0,0.0,5.0,0.1525,0.06900000000000003,16.0
10,0%,8,5,32271,5.0,0.13864945,0.0115386,16.0,0.0,0.0,0.0,0.0
10,0%,8,7,23534,0.0,0.0,0.0,0.0,5.15,0.15950000000000003,0.08500000000000003,15.85
10,0%,8,7,39368,5.15,0.14086745,0.015303800000000001,15.85,0.0,0.0,0.0,0.0
10,10%,8,1,36127,0.0,0.0,0.0,0.0,6.0,0.13349999999999998,0.04950000000000001,16.0
10,10%,8,1,62979,6.0,0.13242389999999998,0.010680949999999998,16.0,0.0,0.0,0.0,0.0
10,10%,8,3,157843,6.0,0.14030175,0.013124899999999998,17.0,0.0,0.0,0.0,0.0
10,10%,8,3,85600,0.0,0.0,0.0,0.0,6.0,0.15399999999999997,0.06950000000000002,17.0
10,10%,8,5,155905,6.0,0.13982305,0.013158549999999996,17.0,0.0,0.0,0.0,0.0
10,10%,8,5,84429,0.0,0.0,0.0,0.0,6.0,0.149,0.07000000000000003,17.0
10,10%,8,7,100117,0.0,0.0,0.0,0.0,6.15,0.164,0.08850000000000002,16.85
10,10%,8,7,184067,6.15,0.1430596,0.019945400000000002,16.85,0.0,0.0,0.0,0.0
10,20%,8,1,35015,0.0,0.0,0.0,0.0,7.0,0.14049999999999999,0.050000000000000024,17.0
10,20%,8,1,62506,7.0,0.13247350000000002,0.01116045,17.0,0.0,0.0,0.0,0.0
10,20%,8,3,156083,7.0,0.13795029999999997,0.013499649999999998,16.3,0.0,0.0,0.0,0.0
10,20%,8,3,86429,0.0,0.0,0.0,0.0,7.0,0.149,0.06650000000000003,16.3
10,20%,8,5,151035,6.55,0.1381385,0.013262250000000003,15.85,0.0,0.0,0.0,0.0
10,20%,8,5,86153,0.0,0.0,0.0,0.0,6.55,0.1545,0.06700000000000003,15.85
10,20%,8,7,100805,0.0,0.0,0.0,0.0,6.75,0.163,0.08400000000000002,15.55
10,20%,8,7,183602,6.75,0.14147705,0.021757000000000002,15.55,0.0,0.0,0.0,0.0
10,30%,8,1,35525,0.0,0.0,0.0,0.0,8.0,0.13699999999999996,0.056000000000000015,18.0
10,30%,8,1,60666,8.0,0.13308985,0.011467599999999998,18.0,0.0,0.0,0.0,0.0
10,30%,8,3,155264,8.0,0.13895245,0.014416800000000002,17.3,0.0,0.0,0.0,0.0
10,30%,8,3,85465,0.0,0.0,0.0,0.0,8.0,0.151,0.06900000000000003,17.3
10,30%,8,5,157472,7.4,0.1390013,0.0139338,16.15,0.0,0.0,0.0,0.0
10,30%,8,5,86066,0.0,0.0,0.0,0.0,7.4,0.15499999999999997,0.07050000000000001,16.15
10,30%,8,7,100606,0.0,0.0,0.0,0.0,7.6,0.16099999999999998,0.07900000000000001,15.6
10,30%,8,7,182020,7.6,0.1417227,0.0236887,15.45,0.0,0.0,0.0,0.0
20,0%,8,1,13244,9.5,0.13300785,0.012811349999999999,28.5,0.0,0.0,0.0,0.0
20,0%,8,1,7977,0.0,0.0,0.0,0.0,10.0,0.15000000000000002,0.07850000000000003,30.0
20,0%,8,3,19350,0.0,0.0,0.0,0.0,10.0,0.17700000000000005,0.11900000000000002,31.0
20,0%,8,3,32503,10.0,0.14259515,0.0189169,31.0,0.0,0.0,0.0,0.0
